epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,4388.63,1.03339,3.35012,0.28888,0.59804,0.0237,4.34732,0.9672,0.9696,0.99004,0.79745,0.91903,0.90644,0.91369,0.47447,0.81658,2.4052,0.35424,0.26203,0.02665,0,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,4474.53,1.03202,3.2849,0.28511,0.58875,0.02383,4.29379,0.97266,0.96888,0.98997,0.80738,0.92111,0.91189,0.92106,0.48054,0.78592,2.39526,0.35713,0.2588,0.02543,0,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,4559.7,1.03372,3.2847,0.28784,0.59317,0.02386,4.30906,0.96325,0.96976,0.99001,0.80388,0.92016,0.90546,0.9158,0.47543,0.79447,2.38802,0.35583,0.2586,0.02573,0,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,4644.16,1.01876,3.21307,0.28539,0.58494,0.02344,4.19642,0.9675,0.97064,0.99066,0.80967,0.92858,0.90781,0.92128,0.48358,0.7717,2.36964,0.35362,0.25961,0.02507,0,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,4728.97,1.02005,3.24396,0.28407,0.58324,0.02357,4.17538,0.96991,0.96521,0.99032,0.80301,0.91999,0.91486,0.92349,0.48621,0.80807,2.34921,0.35672,0.26645,0.02618,0,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,4816.3,1.00893,3.1655,0.28431,0.58778,0.02314,4.08615,0.97616,0.95831,0.98966,0.80781,0.93977,0.90311,0.92309,0.49118,0.78545,2.32361,0.3561,0.26098,0.02536,0,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,4902.8,1.0049,3.1502,0.28199,0.58957,0.02293,4.07521,0.97453,0.96605,0.99022,0.79452,0.9279,0.90682,0.92214,0.49339,0.82931,2.31796,0.35161,0.26464,0.02676,0,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,4988.39,0.99432,3.15056,0.28054,0.57545,0.02298,4.06866,0.9732,0.96594,0.98996,0.80546,0.92804,0.90429,0.91598,0.49378,0.78808,2.30826,0.35342,0.26087,0.02545,0,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,5073.41,1.00168,3.1,0.2794,0.5831,0.02302,3.98376,0.96786,0.97245,0.99034,0.80766,0.92509,0.92132,0.92797,0.50399,0.79572,2.30099,0.35377,0.25362,0.02566,0,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,5155.67,0.99506,3.03758,0.27741,0.57339,0.02274,3.91004,0.97229,0.96851,0.99087,0.80976,0.93769,0.91368,0.94064,0.51035,0.79297,2.27654,0.35144,0.25469,0.02563,0,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,5240.33,0.99436,3.01969,0.27799,0.57728,0.02277,3.89044,0.97029,0.97005,0.9912,0.81495,0.92895,0.91486,0.9306,0.49974,0.77891,2.31639,0.35167,0.25116,0.02508,0,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,5324.87,0.98603,3.02775,0.27752,0.56712,0.02266,3.87731,0.97009,0.97143,0.99052,0.80482,0.93759,0.91838,0.93228,0.50351,0.80215,2.28875,0.35083,0.25346,0.02596,0,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,5408.04,0.98928,2.98796,0.2771,0.55394,0.0227,3.83352,0.96615,0.97211,0.99136,0.81176,0.93418,0.90722,0.92721,0.50839,0.78406,2.28502,0.35189,0.25446,0.02534,0,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,5491.18,0.98176,2.96831,0.27693,0.5596,0.02265,3.83421,0.97108,0.96607,0.99101,0.81062,0.93288,0.91413,0.92987,0.51309,0.77893,2.2795,0.35149,0.25664,0.02521,0,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,5572.13,0.97517,2.97583,0.27469,0.56357,0.0223,3.71362,0.96267,0.97534,0.9917,0.81536,0.94076,0.91192,0.93734,0.51333,0.76993,2.25704,0.35014,0.25,0.02482,0,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,5652.36,0.981,2.94305,0.27568,0.57192,0.0225,3.76859,0.9717,0.96242,0.99115,0.81785,0.93035,0.91075,0.931,0.51448,0.75971,2.25139,0.35172,0.2515,0.02445,0,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
